SN,program_id,program,year_id,year,course_id,course_code,course,course_credit,is_compulsory,comment
1,6,NS,1,First,611,MAT 1100,Mathematical Methods,30,1,
2,6,NS,1,First,612,PHY 1010,Introductory Physics,30,1,
3,6,NS,1,First,613,BIO 1412,Molecular Biology and Genetics,15,1,
4,6,NS,1,First,614,CHE 1000,Introductory Chemistry,30,1,
5,6,NS,1,First,615,BIO 1401,Cells and Biomolecules,15,1,
1,7,BEng,2,Second,721,CEE 2219,Statics and Introduction to Mechanics of Materials,30,1,
2,7,BEng,2,Second,722,EEE 2019,Principles of Electrical and Electronics Engineering,30,1,
3,7,BEng,2,Second,723,ENG 2129,Engineering Communication,30,1,
4,7,BEng,2,Second,724,ENG 2139,Introduction to Information Technology,30,1,
5,7,BEng,2,Second,725,ENG 2159,Engineering Workshop Technology,30,1,
6,7,BEng,2,Second,726,MAT 2110,Engineering Mathematics I,30,1,
7,7,BEng,2,Second,727,MEC 2009,Engineering Drawing I,30,1,
8,7,BEng,2,Second,728,MEC 2309,Properties of engineering Materials I,30,1,
1,1,Agricultural,3,Third,131,AGG 3811,Rural Sociology (formerly called Rural Sociology and Extension),15,1,
2,1,Agricultural,3,Third,132,CEE 3311,Fluid Mechanics I,15,1,
3,1,Agricultural,3,Third,133,AGA 3335,Fundamentals of Animal Production (formerly called Animal Production for Engineers),15,1,
4,1,Agricultural,3,Third,134,MEC 3401,Thermodynamics I,15,1,
5,1,Agricultural,3,Third,135,MAT 3110,Engineering Mathematics II,30,1,
6,1,Agricultural,3,Third,136,MEC 3352,Strength of Materials I,15,1,
7,1,Agricultural,3,Third,137,AGC 3135,Fundamentals of Field Crop Production (formerly called Crop Production for Engineers),15,1,
8,1,Agricultural,3,Third,138,AEN 3412,Soil and Water Conservation Engineering,15,1,
1,1,Agricultural,4,Fourth,141,CEE 4311,Hydrology,15,1,
2,1,Agricultural,4,Fourth,142,AEN 4311,Farm Power,15,1,
3,1,Agricultural,4,Fourth,143,GEE 4812,Introduction to Geomatics,15,1,
4,1,Agricultural,4,Fourth,144,MAT 4119,Engineering Mathematics III,30,1,
5,1,Agricultural,4,Fourth,145,AEN 4512,Food Process Engineering 25,15,1,
6,1,Agricultural,4,Fourth,146,ENG 4129,Engineering Management & Entrepreneurship,30,1,
7,1,Agricultural,4,Fourth,147,AEN 4112,Agricultural Machinery Design,15,1,
8,1,Agricultural,4,Fourth,148,AEN 4612,Instrumentation and Process Control,15,1,
9,1,Agricultural,4,Fourth,149,ENG 4143,Industrial Training I,15,1,
1,1,Agricultural,5,Fifth,151,AEN 5211,Agricultural Structures and Infrastructures,15,1,
2,1,Agricultural,5,Fifth,152,AEN 5421,Irrigation and Drainage Engineering,15,1,
3,1,Agricultural,5,Fifth,153,AEN 5321,Renewable Energy Sources,15,1,
4,1,Agricultural,5,Fifth,154,AEN 5714,Project,30,1,
5,1,Agricultural,5,Fifth,155,AEN 5132,Agricultural Mechanization,15,1,
6,1,Agricultural,5,Fifth,156,ENG 5129,Engineering Management & Society,30,1,
7,1,Agricultural,5,Fifth,157,ENG 5143,Industrial Training II,15,1,
8,1,Agricultural,5,Fifth,158,CEE 4412,Environmental Engineering,15,0,
9,1,Agricultural,5,Fifth,159,AEN 5122,Soil Dynamics and Tillage,15,0,
10,1,Agricultural,5,Fifth,1510,AEN 5222,Theory of Structures and Structural Design,15,0,
11,1,Agricultural,5,Fifth,1511,AEN 5522,Post-Harvest Technology,15,0,
1,2,Civil & Environmental,3,Third,231,CEE 3111,Civil Engineering Materials and Construction Practices,15,1,
2,2,Civil & Environmental,3,Third,232,CEE 3211,Mechanics of Materials,15,1,
3,2,Civil & Environmental,3,Third,233,GGY 3051,Engineering Geology,15,1,
4,2,Civil & Environmental,3,Third,234,GEE 3522,Land Management II,15,1,
5,2,Civil & Environmental,3,Third,235,CEE 3311,Fluid Mechanics,15,1,
6,2,Civil & Environmental,3,Third,236,MAT 3110,Engineering Mathematics II,30,1,
7,2,Civil & Environmental,3,Third,237,CEE 3112,Civil Engineering Drawing,15,1,
8,2,Civil & Environmental,3,Third,238,CEE 3222,Theory of Structures,15,1,
1,2,Civil & Environmental,4,Fourth,241,CEE 4211,Design of Masonry & Timber Structures,15,1,
2,2,Civil & Environmental,4,Fourth,242,CEE 4311,Hydrology,15,1,
3,2,Civil & Environmental,4,Fourth,243,GEE 4812,Principles of Surveying,15,1,
